test_case_id,title,module,screen_id,topic,priority,type,preconditions,test_data,test_steps,expected_result
TC_1028_02,Enable/Disable Temperature Display,WeatherNotifications,1028,list,P1,Functional,,,Navigate to the Weather Notifications screen. | Click on the toggle switch for displaying the current temperature. | Verify that the toggle switch reflects the correct state.,The toggle switch should toggle between enabled and disabled states.
TC_1028_03,Enable/Disable Lock Screen Weather Banner,WeatherNotifications,1028,list,P1,Functional,,,Navigate to the Weather Notifications screen. | Click on the toggle switch for displaying the weather on the lock screen. | Verify that the toggle switch reflects the correct state.,The toggle switch should toggle between enabled and disabled states.
TC_1028_04,Enable/Disable Show Alerts in Status Bar,WeatherNotifications,1028,list,P1,Functional,,,Navigate to the Weather Notifications screen. | Click on the toggle switch for showing alerts in the status bar. | Verify that the toggle switch reflects the correct state.,The toggle switch should toggle between enabled and disabled states.
TC_1028_05,Enable/Disable Sounds/Lights/Vibration,WeatherNotifications,1028,list,P1,Functional,,,"Navigate to the Weather Notifications screen. | Click on each checkbox for enabling sounds, lights, and vibration. | Verify that the checkboxes reflect the correct state.",Each checkbox should toggle between enabled and disabled states.
TC_1028_06,Click on Done Button,WeatherNotifications,1028,list,P1,Functional,,,Navigate to the Weather Notifications screen. | Click on the 'Done' button at the bottom. | Verify that the screen returns to the previous screen.,The screen should return to the previous screen.
TC_1028_07,Toggle Switches State,WeatherNotifications,1028,list,P1,Functional,,,Navigate to the Weather Notifications screen. | Click on each toggle switch to enable and disable the weather alerts. | Click on the 'Done' button at the bottom. | Verify that the toggle switches reflect the correct state.,Each toggle switch should toggle between enabled and disabled states.
TC_1028_08,Checkboxes State,WeatherNotifications,1028,list,P1,Functional,,,"Navigate to the Weather Notifications screen. | Click on each checkbox for enabling sounds, lights, and vibration. | Click on the 'Done' button at the bottom. | Verify that the checkboxes reflect the correct state.",Each checkbox should toggle between enabled and disabled states.
TC_10304_001,Positive flow: Fill out the form and submit,Contact Form,10304,form,P1,Functional,,"Sam Brown | appcrawler5@gmail.com | 4155791543 | Please, write a message to the user",Navigate to the contact form screen. | Click on the 'Nombre' field and enter 'John Doe'. | Click on the 'Email' field and enter 'johndoe@example.com'. | Click on the 'Teléfono' field and enter '1234567890'. | Click on the 'Mensaje' field and enter 'I would like to know more about this product.'. | Toggle the 'Envía' switch to 'Enviar'. | Click the 'Enviar' button to submit the form.,"The form is submitted successfully, and a confirmation message is displayed."
TC_10304_002,Negative flow: Empty form submission,Contact Form,10304,form,P1,Functional,, |  |  | ,Navigate to the contact form screen. | Toggle the 'Envía' switch to 'Enviar'. | Click the 'Enviar' button to submit the form.,"The form is not submitted, and an error message is displayed."
TC_10304_003,Negative flow: Invalid email submission,Contact Form,10304,form,P1,Functional,,"Sam Brown | invalid-email | 4155791543 | Please, write a message to the user",Navigate to the contact form screen. | Click on the 'Email' field and enter 'invalid-email'. | Toggle the 'Envía' switch to 'Enviar'. | Click the 'Enviar' button to submit the form.,"The form is not submitted, and an error message is displayed."
TC_10304_004,Negative flow: Empty name submission,Contact Form,10304,form,P1,Functional,," | appcrawler5@gmail.com | 4155791543 | Please, write a message to the user",Navigate to the contact form screen. | Click on the 'Nombre' field and enter ' '. | Toggle the 'Envía' switch to 'Enviar'. | Click the 'Enviar' button to submit the form.,"The form is not submitted, and an error message is displayed."
TC_10304_005,Negative flow: Empty phone submission,Contact Form,10304,form,P1,Functional,,"Sam Brown | appcrawler5@gmail.com |  | Please, write a message to the user",Navigate to the contact form screen. | Click on the 'Teléfono' field and enter ' '. | Toggle the 'Envía' switch to 'Enviar'. | Click the 'Enviar' button to submit the form.,"The form is not submitted, and an error message is displayed."
TC_10304_006,Negative flow: Empty message submission,Contact Form,10304,form,P1,Functional,,Sam Brown | appcrawler5@gmail.com | 4155791543 | ,Navigate to the contact form screen. | Click on the 'Mensaje' field and enter ' '. | Toggle the 'Envía' switch to 'Enviar'. | Click the 'Enviar' button to submit the form.,"The form is not submitted, and an error message is displayed."
TC_10352_001,Navigate to the 'INFO' tab from the 'EVENTS' tab,Settings,10352,settings,P1,Functional,,,Click on the 'INFO' tab. | Verify that the 'INFO' tab is now active.,The 'INFO' tab is active.
TC_10352_002,Navigate to the 'COMMENTS' tab from the 'EVENTS' tab,Settings,10352,settings,P1,Functional,,,Click on the 'COMMENTS' tab. | Verify that the 'COMMENTS' tab is now active.,The 'COMMENTS' tab is active.
TC_10352_003,Click on 'MAKE YOUR PREDICTION' section,Settings,10352,settings,P1,Functional,,,Click on the 'MAKE YOUR PREDICTION' section. | Verify that the prediction options are displayed.,The prediction options are displayed.
TC_10352_004,Select 'Osmanlispor' as the prediction,Settings,10352,settings,P1,Functional,,,Click on the 'Osmanlispor' prediction option. | Verify that 'Osmanlispor' is selected as the prediction.,'Osmanlispor' is selected as the prediction.
TC_10352_005,Select 'Draw' as the prediction,Settings,10352,settings,P1,Functional,,,Click on the 'Draw' prediction option. | Verify that 'Draw' is selected as the prediction.,'Draw' is selected as the prediction.
TC_10352_006,Select 'Olympiakos Piraeus' as the prediction,Settings,10352,settings,P1,Functional,,,Click on the 'Olympiakos Piraeus' prediction option. | Verify that 'Olympiakos Piraeus' is selected as the prediction.,'Olympiakos Piraeus' is selected as the prediction.
TC_10352_007,Click on the 'Refresh' icon in the header,Settings,10352,settings,P1,Functional,,,Click on the 'Refresh' icon in the header. | Verify that the content is refreshed.,The content is refreshed.
TC_10352_008,Click on the 'Menu' icon in the header,Settings,10352,settings,P1,Functional,,,Click on the 'Menu' icon in the header. | Verify that the menu options are displayed.,The menu options are displayed.
TC_10352_009,Click on the 'Back' arrow in the header,Settings,10352,settings,P1,Functional,,,Click on the 'Back' arrow in the header. | Verify that the user is navigated back to the previous screen.,The user is navigated back to the previous screen.
TC_10440_01,Open the All Contacts screen,Contact Management,10440,profile,P0,Functional,,,Open the app and navigate to the 'Contacts' section.,The 'All Contacts' screen is displayed.
TC_10440_02,Click on the FAB to add a new contact,Contact Management,10440,profile,P1,Functional,,,Click on the floating action button (FAB) with the plus sign.,A new contact form is displayed.
TC_10440_03,Search for a non-existent contact,Contact Management,10440,profile,P1,Functional,,Search term: 'John Doe',Click on the search bar. | Type 'John Doe' into the search bar. | Press enter.,No results are displayed.
TC_10440_04,Add a new contact with valid data,Contact Management,10440,profile,P1,Functional,,First Name: John | Last Name: Doe | Phone Number: 1234567890,Click on the FAB to add a new contact. | Enter 'John' in the first name field. | Enter 'Doe' in the last name field. | Enter '1234567890' in the phone number field. | Click on the 'Save' button.,The contact 'John Doe' is added to the contact list.
TC_10440_05,Delete a contact,Contact Management,10440,profile,P1,Functional,,Contact name: John Doe,Navigate to the 'All Contacts' screen. | Locate and click on the contact 'John Doe'. | Click on the 'Delete' option for the contact 'John Doe'. | Confirm the deletion.,The contact 'John Doe' is removed from the contact list.
TC_10440_06,Navigate through the bottom navigation bar,Contact Management,10440,profile,P1,Functional,,,Click on the 'Favorite' icon in the bottom navigation bar. | Click on the 'Recents' icon in the bottom navigation bar. | Click on the 'Contacts' icon in the bottom navigation bar. | Click on the 'Keypad' icon in the bottom navigation bar. | Click on the 'Settings' icon in the bottom navigation bar.,The app navigates to the respective sections as expected.
TC_10440_07,Check for data persistence after app restart,Contact Management,10440,profile,P2,Functional,,,Exit the app. | Restart the app. | Navigate to the 'All Contacts' screen.,The contact list is still populated with existing contacts.
TC_10482_01,Enter valid phone number,Checkout,10482,form,P1,Functional,,123-456-7890,Navigate to the 'Phone for Checkout' screen. | Tap on the text input field labeled 'Phone'. | Enter the phone number '123-456-7890'. | Verify that the phone number is correctly entered.,The phone number '123-456-7890' is displayed in the input field.
TC_10482_02,Enter invalid phone number,Checkout,10482,form,P1,Functional,,123-456-789,Navigate to the 'Phone for Checkout' screen. | Tap on the text input field labeled 'Phone'. | Enter the phone number '123-456-789'. | Verify that an error message is displayed indicating an invalid phone number.,An error message is displayed indicating an invalid phone number.
TC_10482_03,Clear phone number input,Checkout,10482,form,P1,Functional,,123-456-7890,Navigate to the 'Phone for Checkout' screen. | Tap on the text input field labeled 'Phone'. | Enter the phone number '123-456-7890'. | Tap on the input field again to clear the text. | Verify that the input field is empty.,The input field is empty.
TC_10482_04,Navigation to checkout,Checkout,10482,form,P1,Functional,,123-456-7890,Navigate to the 'Phone for Checkout' screen. | Enter a valid phone number '123-456-7890'. | Tap on the 'Next' button to navigate to the checkout screen. | Verify that the user is redirected to the checkout screen.,The user is redirected to the checkout screen.
TC_10482_05,Input field accessibility,Checkout,10482,form,P2,Accessibility,,123-456-7890,Navigate to the 'Phone for Checkout' screen. | Tap on the text input field labeled 'Phone'. | Verify that the input field is accessible and can be interacted with.,The input field is accessible and can be interacted with.
TC_10482_06,Input field usability,Checkout,10482,form,P2,Usability,,123-456-7890,Navigate to the 'Phone for Checkout' screen. | Tap on the text input field labeled 'Phone'. | Enter a valid phone number '123-456-7890'. | Verify that the input field is easy to use and does not have any usability issues.,The input field is easy to use and does not have any usability issues.
TC_10482_07,Data persistence,Checkout,10482,form,P2,Regression,,123-456-7890,Navigate to the 'Phone for Checkout' screen. | Enter a valid phone number '123-456-7890'. | Navigate to the home screen. | Return to the 'Phone for Checkout' screen. | Verify that the phone number '123-456-7890' is still present in the input field.,The phone number '123-456-7890' is still present in the input field.
TC_10498_001,Verify the presence of the 'Headlines' tab at the top of the screen,News App,10498,gallery,P0,Functional,,,Open the app and navigate to the 'Headlines' section.,The 'Headlines' tab should be visible at the top of the screen.
TC_10498_002,Verify the functionality of the main navigation menu,News App,10498,gallery,P0,Functional,,,Open the app and navigate to the 'Headlines' section. | Click on the downward chevron in the main navigation menu to view more options.,The main navigation menu should expand to show additional options.
TC_10498_003,Verify the functionality of the login prompt,News App,10498,gallery,P0,Functional,,,Open the app and navigate to the 'Headlines' section. | Click on the login prompt.,The app should navigate to the login screen.
TC_10498_004,Verify the functionality of the search icon in the header,News App,10498,gallery,P0,Functional,,,Open the app and navigate to the 'Headlines' section. | Click on the search icon in the header.,The app should navigate to the search screen.
TC_10498_005,Verify the functionality of the main content area,News App,10498,gallery,P0,Functional,,,Open the app and navigate to the 'Headlines' section.,The main content area should display a large image of a missile launch with a caption about a reported missile launch in North Korea.
TC_10498_006,Verify the functionality of the login prompt,News App,10498,gallery,P0,Functional,,,Open the app and navigate to the 'Headlines' section. | Click on the login prompt.,The app should navigate to the login screen.
TC_10498_007,Verify the functionality of the login prompt,News App,10498,gallery,P0,Functional,,,Open the app and navigate to the 'Headlines' section. | Click on the login prompt.,The app should navigate to the login screen.
TC_10498_008,Verify the functionality of the login prompt,News App,10498,gallery,P0,Functional,,,Open the app and navigate to the 'Headlines' section. | Click on the login prompt.,The app should navigate to the login screen.
TC_10498_009,Verify the functionality of the login prompt,News App,10498,gallery,P0,Functional,,,Open the app and navigate to the 'Headlines' section. | Click on the login prompt.,The app should navigate to the login screen.
TC_10498_010,Verify the functionality of the login prompt,News App,10498,gallery,P0,Functional,,,Open the app and navigate to the 'Headlines' section. | Click on the login prompt.,The app should navigate to the login screen.
TC_10522_01,Open the app and navigate to the photo editing screen,Editor,10522,editor,P0,Functional,The app is installed and running,,Open the app | Navigate to the photo editing screen,The photo editing screen is displayed
TC_10522_02,Click on the download icon,Editor,10522,editor,P1,Functional,The photo editing screen is displayed,,Click on the download icon,A download dialog should appear
TC_10522_03,Click on the upload icon,Editor,10522,editor,P1,Functional,The photo editing screen is displayed,,Click on the upload icon,An upload dialog should appear
TC_10522_04,Click on the share icon,Editor,10522,editor,P1,Functional,The photo editing screen is displayed,,Click on the share icon,A share dialog should appear
TC_10522_05,Click on the text tool,Editor,10522,editor,P1,Functional,The photo editing screen is displayed,,Click on the text tool,The text tool should be active
TC_10522_06,Click on the paint tool,Editor,10522,editor,P1,Functional,The photo editing screen is displayed,,Click on the paint tool,The paint tool should be active
TC_10522_07,Click on the transform tool,Editor,10522,editor,P1,Functional,The photo editing screen is displayed,,Click on the transform tool,The transform tool should be active
TC_10522_08,Click on the back arrow in the header,Editor,10522,editor,P1,Functional,The photo editing screen is displayed,,Click on the back arrow in the header,The user should be navigated back to the previous screen
TC_10522_09,Input text using the text tool,Editor,10522,editor,P1,Functional,The photo editing screen is displayed and the text tool is active,Happy Birthday!,Click on the text tool | Click on the image to place the text | Input the text 'Happy Birthday!',The text 'Happy Birthday!' should be displayed on the image
TC_10522_10,Select a color using the paint tool,Editor,10522,editor,P1,Functional,The photo editing screen is displayed and the paint tool is active,Red,Click on the paint tool | Select the color 'Red',The selected color should be applied to the image
TC_10522_11,Rotate the image using the transform tool,Editor,10522,editor,P1,Functional,The photo editing screen is displayed and the transform tool is active,90 degrees,Click on the transform tool | Rotate the image 90 degrees,The image should be rotated 90 degrees
TC_10538_01,User navigates to the grammar test screen and selects an answer,Grammar Test App,10538,form,P1,Functional,,,Navigate to the grammar test screen. | Select the answer option 'a dog.' | Click the 'ANSWER' button.,The answer 'a dog.' is selected. | The 'ANSWER' button is clicked.
TC_10538_02,User selects 'I DON'T KNOW' button,Grammar Test App,10538,form,P1,Functional,,,Navigate to the grammar test screen. | Click the 'I DON'T KNOW' button.,The 'I DON'T KNOW' button is clicked.
TC_10538_03,User selects an invalid answer option,Grammar Test App,10538,form,P2,Negative,,,Navigate to the grammar test screen. | Select the answer option 'dog'. | Click the 'ANSWER' button.,The answer 'dog' is selected. | The 'ANSWER' button is clicked.
TC_10538_04,User selects the 'We will learn' icon in the footer,Grammar Test App,10538,form,P2,Functional,,,Navigate to the grammar test screen. | Click the 'We will learn' icon in the footer.,The 'We will learn' icon is clicked.
TC_10538_05,User selects the 'I already know' icon in the footer,Grammar Test App,10538,form,P2,Functional,,,Navigate to the grammar test screen. | Click the 'I already know' icon in the footer.,The 'I already know' icon is clicked.
TC_10538_06,User navigates back to the previous screen,Grammar Test App,10538,form,P2,Functional,,,Navigate to the grammar test screen. | Click the back arrow in the header.,The back arrow is clicked.
TC_10538_07,User navigates to the grammar test screen and selects an answer,Grammar Test App,10538,form,P2,Usability,,,Navigate to the grammar test screen. | Select the answer option 'a dog.' | Click the 'ANSWER' button.,The answer 'a dog.' is selected. | The 'ANSWER' button is clicked.
TC_10538_08,User selects 'I DON'T KNOW' button,Grammar Test App,10538,form,P2,Usability,,,Navigate to the grammar test screen. | Click the 'I DON'T KNOW' button.,The 'I DON'T KNOW' button is clicked.
TC_10538_09,User selects an invalid answer option,Grammar Test App,10538,form,P2,Usability,,,Navigate to the grammar test screen. | Select the answer option 'dog'. | Click the 'ANSWER' button.,The answer 'dog' is selected. | The 'ANSWER' button is clicked.
TC_10544_001,Search for New Cars - Positive Flow,CarWale,10544,search,P1,Functional,The user is logged in to the CarWale app. | The 'New Car' tab is selected.,New Cars,Open the CarWale app. | Tap on the 'New Car' tab. | Enter 'New Cars' in the search input field. | Tap on the 'FIND CAR' button.,The search results for 'New Cars' should be displayed.
TC_10544_002,Search for New Cars - Negative Flow - Empty Search,CarWale,10544,search,P1,Negative,The user is logged in to the CarWale app. | The 'New Car' tab is selected.,,Open the CarWale app. | Tap on the 'New Car' tab. | Enter an empty string in the search input field. | Tap on the 'FIND CAR' button.,An error message should be displayed indicating that a search term is required.
TC_10544_003,Search for New Cars - Negative Flow - Invalid Input,CarWale,10544,search,P1,Negative,The user is logged in to the CarWale app. | The 'New Car' tab is selected.,1234567890,Open the CarWale app. | Tap on the 'New Car' tab. | Enter '1234567890' in the search input field. | Tap on the 'FIND CAR' button.,An error message should be displayed indicating that the search term is invalid.
TC_10544_004,Search for New Cars - Negative Flow - No Results,CarWale,10544,search,P1,Negative,The user is logged in to the CarWale app. | The 'New Car' tab is selected.,Luxury Cars,Open the CarWale app. | Tap on the 'New Car' tab. | Enter 'Luxury Cars' in the search input field. | Tap on the 'FIND CAR' button.,"If no results are found, an appropriate message should be displayed."
TC_10544_005,Search for New Cars - UI Test - Search Input Field,CarWale,10544,search,P2,UI,The user is logged in to the CarWale app. | The 'New Car' tab is selected.,New Cars,Open the CarWale app. | Tap on the 'New Car' tab. | Enter 'New Cars' in the search input field.,The search input field should highlight the entered text.
TC_10544_006,Search for New Cars - UI Test - Find Car Button,CarWale,10544,search,P2,UI,The user is logged in to the CarWale app. | The 'New Car' tab is selected.,New Cars,Open the CarWale app. | Tap on the 'New Car' tab. | Enter 'New Cars' in the search input field. | Tap on the 'FIND CAR' button.,The 'FIND CAR' button should change its appearance to indicate it has been pressed.
TC_10544_007,Search for New Cars - Accessibility Test,CarWale,10544,search,P2,Accessibility,The user is logged in to the CarWale app. | The 'New Car' tab is selected.,New Cars,Open the CarWale app. | Tap on the 'New Car' tab. | Enter 'New Cars' in the search input field. | Tap on the 'FIND CAR' button.,The screen should be accessible to users with visual impairments using screen readers.
TC_10592_01,Verify the presence of social networks in the list,SocialNetworks,10592,list,P0,Functional,,,"Open the application and navigate to the 'Social Networks' screen. | Verify that the list contains the following social networks: Facebook, Google+, Twitter, VKontakte.",The list should display the specified social networks.
TC_10592_02,Verify the functionality of the green plus sign next to each social network,SocialNetworks,10592,list,P0,Functional,,,Open the application and navigate to the 'Social Networks' screen. | Click on the green plus sign next to each social network. | Verify that clicking the green plus sign adds the social network to the application.,The social network should be successfully added to the application.
TC_10592_03,Verify that the back arrow in the header navigates back to the previous screen,SocialNetworks,10592,list,P0,Functional,,,Open the application and navigate to the 'Social Networks' screen. | Click on the back arrow in the header. | Verify that the application navigates back to the previous screen.,The application should navigate back to the previous screen.
TC_10592_04,Verify data persistence when the application is closed and reopened,SocialNetworks,10592,list,P0,Functional,,,Open the application and navigate to the 'Social Networks' screen. | Add a social network by clicking the green plus sign. | Close the application and reopen it. | Verify that the added social network is still present in the list.,The added social network should still be present in the list.
